# Date: 2017-06-02 16:41:18 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FID: control_20.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Biofluid: Serum (Filtered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NMR Frequency: 500 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DSS Concentration: 833.0 µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fast Profile: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Concentration Units: µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMDB,Compound Name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,case_1,case_2,case_3,case_4,case_5,case_6,case_7,case_8,case_9,case_10,case_11,case_12,case_13,case_14,case_15,case_16,case_17,case_18,case_19,case_20
Label,,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case
-,DSS,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833
HMDB00182,Lysine,70.9,78.8,129.7,119.5,102.8,95.7,120.3,65.3,91.5,148.5,127.8,104.2,100.3,72.6,129.1,127.6,101.4,103.8,135.3,97.6,81.3,66.6,94.9,88.1,93.4,76.7,82.5,102.4,105.7,72.9,81.9,104,126,82.1,92.5,120.2,89.2,74.2,96,88.5
HMDB00187,L-Serine,441.5,261.2,209.9,169.9,277.6,200.7,313.7,396.7,491,360.5,213.4,142.2,139.4,205.6,231,137.4,207.3,190.1,225.5,308.3,305.9,211.4,141.9,210.6,260.9,180.1,156.8,145.8,250.6,175.7,128.4,174.8,175.6,93.8,145.6,212.3,196.9,214.7,212.3,173.7
HMDB00190,L-Lactic acid,1071.2,1814.6,1763.3,881.2,1398.3,960.7,1727.2,740.5,1436.2,1405.7,1238.8,811.7,1279.7,1046.9,981.4,1084.7,816,1204.3,1248.5,977.7,1368.1,1491.6,1478.2,1111.9,909.9,500.9,793.8,1280.9,1309.6,934,668.2,984.6,1551,1580.1,948.7,872.4,905.8,1010.7,913.9,1732.1
HMDB00191,L-Aspartic acid,74.5,45,24.3,14.3,36.6,31.3,32.6,30,81.2,52.6,27.3,34.5,32.8,21,36.4,32.8,34.2,26.6,23.6,25.7,34.7,39.5,29.6,33.6,52.9,26.3,47.2,24.3,24.6,18.9,18.9,19.8,35.8,50.2,32.1,21.6,24.9,44.8,21,22.6
HMDB00214,Ornithine,0,32.3,14.7,0,38.1,21.5,8.2,10.7,74.3,29,5.5,6.8,0,8.1,0,8,27.3,0,23.7,8.1,0,42.3,10.5,7.2,15.3,13.8,18.1,0,0,9.5,8.6,0,0,6.3,0,7.8,0,0,24,19.4
HMDB00243,Pyruvic acid,47.2,111.3,119.7,52.5,68.5,36.4,67.8,40.7,55.1,51.6,56.9,38.5,42.8,48.1,62,53,38.6,55.9,46.1,67.6,43.3,46.1,67.4,25,37.6,45.7,40.6,104.2,89.8,32.4,26.9,48.3,88.8,78.3,42.1,57.1,38.3,57.9,55.4,93.3
HMDB00254,Succinic acid,4,4.1,4.6,5.1,4.7,5.6,4.9,5,5.8,5.6,5,4.3,4.9,3.8,4.7,4.7,5.2,7,5.7,4.7,4.9,7.4,9.2,13.4,2.6,3.9,4.5,3.1,3,6.6,3.7,5.2,4.2,7.7,5.8,4.3,4.4,4.6,4,7
HMDB00294,Urea,371.9,258.9,838.5,865.5,1852.9,1616,24.3,342.2,775,660.8,329.8,3458.6,940.7,1244.5,1802.4,884.6,839.4,1304.3,473,400.8,881.9,1077.1,80,109.4,293.1,748.1,1996.4,871.5,167.4,2323.3,1321.8,961.4,1757,1741.6,1208.6,755.4,494.6,1168.6,427.4,736.4
HMDB00357,3-Hydroxybutyric acid,21.7,25.4,21.6,12.2,11.3,13.8,20,58,23.8,12.9,13.2,5.7,16.3,24.1,3.7,13.1,15.7,27.2,23.2,9.2,84.1,119.4,99.7,92.1,248.9,103.4,195.9,66.5,11.5,166.4,53.7,32.7,55.7,26.5,166.3,102.6,108.7,260.4,140.3,24.6
HMDB00517,L-Arginine,89.5,53.3,105.7,84.4,46.8,60,54.8,52.6,101.7,121.8,106.5,53.1,45.5,85.1,73.1,59.4,41.4,51.3,86.7,44.5,66.5,81.1,66.8,48.2,47.2,32,64.9,34.2,46.2,55,51,41.3,58,28.9,14.9,67.9,97.2,61.5,40.7,25.3
HMDB00562,Creatinine,49.6,35.3,45.6,44.4,56.1,50.9,44.8,58.6,44.4,42.3,57.1,69.6,64.3,40.1,45.4,40.3,49.6,46.9,37.7,46.8,65,50.5,27.2,43,38.1,34.6,63,49.7,47.2,47.5,43.7,49.2,43.9,53.9,42.1,50.4,48.3,51.8,30.9,47.3
HMDB00641,L-Glutamine,440.9,449,369.8,481.7,456.2,446.9,385,403.8,452.1,617.2,503.2,393.8,421.6,343.6,406.9,403.8,450.3,519.8,371.8,341.2,452.1,470.2,408.9,243.9,380.9,266.5,333.6,339.3,288.1,428,355.2,404.2,365.1,367.2,425,449.7,431.5,380.4,414,319.3
HMDB00687,L-Leucine,52.7,48.5,108.8,72.3,69.5,53.1,73.9,64.5,91.2,84.1,87.5,73.1,112.3,51.8,80.7,91.9,72.2,60.6,64.8,61.7,44.7,59.2,52.4,72.2,58.4,43,57.5,66.6,75.9,68.8,50,58.1,71.8,52.7,59.8,58.8,66.1,51,67.4,52.9
HMDB00691,Malonic acid,10.8,15.1,9.2,13.4,8.2,6.2,6.8,13.3,12.3,13.5,0,7.2,6.3,6.2,5.4,1.5,2.7,0,5.4,5.3,25.2,20.8,3.7,5.9,6.9,4.6,7,7,8.6,5.2,6.1,6.5,4.2,7.6,2.4,5.2,13,2.9,6.2,0.6
HMDB00696,L-Methionine,28.5,18.1,33.1,24.1,19.6,14.6,20.7,29.4,35.7,38.6,28.7,14.7,36,16.7,20.8,29.4,16.3,24.9,23.9,19.7,21.2,26.4,14,13.1,21.5,15.7,26,17.1,21.1,22.7,15.5,22.9,18.6,20.5,13.1,16.6,24.3,18.6,16.7,13.8
HMDB00863,Isopropanol,1.8,5.2,2.3,3.7,4.7,0.7,4.2,1,0,1.5,0.8,0.7,9.2,0.9,1.6,2.3,2.1,0.7,3.1,2,2.8,0.1,2.3,3.7,0,3.9,10.4,1.5,3.4,1.6,1,0.7,5.5,0,0,0.7,0,2.2,2.6,0.5
HMDB00883,L-Valine,96.7,105.5,176.5,128.2,136.6,98,134.2,125.5,157.9,132.6,146.3,155.1,172.3,95.4,168.9,152.2,155.2,101.9,117.3,145.9,99.8,107.6,83.1,131.2,114.1,85.3,106.5,123.3,163.2,137.9,111.3,99.6,135.9,111.3,115.7,96.1,117.1,87,140.7,102.5
HMDB00929,L-Tryptophan,10.6,11.4,12.3,20.6,7.1,12.3,14,18.5,14.2,11.1,14.5,8.6,15.3,12.3,4.8,15.8,8.7,11.4,16.1,10.4,10.6,15.5,10.4,12.1,7.7,12.7,14.1,18.1,10.7,9.6,8,16.9,12.1,16,10.3,20.3,8.7,5.5,5.9,13.4
HMDB01659,Acetone,6.3,7.4,11.4,10.1,13.9,10,15.9,17.6,13.8,12.7,11.1,11.1,10.4,13.3,12.7,15,17.1,12.7,15.4,10.1,16.2,18.3,16.4,22.2,40.6,13.6,27.2,22.4,16.5,48.3,27.5,16.7,21.7,18,56.2,38.8,19.5,31.7,27.1,13.7
HMDB01873,Isobutyric acid,4,4.8,7.5,2,3.9,1.5,8.5,5.5,7,5.6,5.6,2.5,0.3,3.5,3.3,2.8,4.3,4.6,2.9,1.8,3.7,2.2,2.1,4.8,2.9,2.3,5.6,7.2,3.4,3.1,2.3,3.3,8.9,3.4,5.1,3.1,3.8,2.8,3.8,6.6
HMDB01875,Methanol,97.4,66.3,69.2,58.1,319.9,304.4,320,367,346.7,322.3,238,332,335.2,270.8,154.5,121.4,106.6,180.9,135.6,116.7,83.1,70.5,85.3,306.2,316.8,155.1,417.4,378.7,416,191.6,124.5,126,165.9,142.1,161,192.3,71.7,266.5,280.3,283.7
HMDB01881,Propylene glycol,8.7,17.4,9.8,7.1,23.5,0,8.8,9.4,0,5.9,14.6,3.6,2.5,5.7,3.3,11,8.4,0,0,6.8,10.7,0,1.7,5.9,3.8,15.6,15.6,11.5,0,10.8,0.4,6.9,6,5.3,0,3,0,5.2,9.4,0
HMDB04983,Dimethylsulfone,2.6,3.2,1.7,3,9.4,6.6,6.7,3.9,7.4,7.2,337.6,10.8,4.4,12.1,12.4,2.3,8.8,516.7,12,3.4,14.5,6.5,2.1,176.4,6.4,2,11.8,7.1,5.8,6.1,4.7,2,5.7,12.4,12.7,6.5,2.4,1.8,3.2,100.1
